course_id,course_number,level,instructors,rooms_mentioned,scheduling_context,term,notes
CSE 480,480,Undergraduate,Martin; Allen,TECH 100; AUD C1,upper-level/elective; lecture,Spring 2027,
CSE 494,494,Undergraduate,,,placeholder topic/section,Spring 2027,
CSE 511,511,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 512,512,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 514,514,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 518,518,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 519,519,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 524,524,Graduate,,TECH 106,graduate/specialized,Spring 2027,
CSE 528,528,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 533,533,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 535,535,Graduate,,TECH 106,graduate/specialized,Spring 2027,
CSE 540,540,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 550,550,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 553,553,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 559,559,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 568,568,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 581,581,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 582,582,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 583,583,Graduate,,TECH 100,graduate seminar/course,Spring 2027,
CSE 588,588,Graduate,,TECH 206,graduate course,Spring 2027,
CSE 590,590,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
CSE 594,594,Graduate,,TECH 201/202/203/204,graduate topic/placeholder,Spring 2027,
